#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
99,Party Rock Anthem,"LMFAO,Lauren Bennett,GoonRock",77,130,"dance pop, pop, pop rap, ","Pop, Hip Hop",Sorry For Party Rocking,1/1/2011,4:22,75,74,2,0,35,10,20,-4,F Minor,4,8/14/2023,7mitXLIMCflkhZiD34uEQI,Will I Am / A&M,4A,,https://i.scdn.co/image/ab67616d000048511db908d5f66645cb158837ca
100,Sexy And I Know It,LMFAO,71,130,"dance pop, pop, pop rap","Pop, Hip Hop",Sorry For Party Rocking,1/1/2011,3:19,71,86,10,0,80,30,10,-4,G Major,4,8/14/2023,70Vdd1gx5tn84jkAU31ASv,Will I Am / A&M,9B,,https://i.scdn.co/image/ab67616d000048511db908d5f66645cb158837ca
101,Sorry For Party Rocking,LMFAO,60,134,"dance pop, pop, pop rap","Pop, Hip Hop",Sorry For Party Rocking,1/1/2011,3:23,60,88,0,0,55,10,40,-4,F Major,4,8/14/2023,68rRbbwmXydDOqhArVTFTX,Will I Am / A&M,7B,,https://i.scdn.co/image/ab67616d000048511db908d5f66645cb158837ca
102,Don't Worry,Constantin Ray,39,123,,,Don't Worry,5/13/2015,3:35,82,79,33,0,85,10,30,-8,G Major,4,8/21/2023,6q9En7jGURQO2AZVqmFFNB,Blue Charts Records,9B,https://p.scdn.co/mp3-preview/96e79050f36bd46cfe5756d7c079a3a15191cec4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851615dfa5494fdc56fc1ea16f4
103,You Spin My Head Right Round,Tomas Bellwais,50,125,,,"Running Songs: Best Motivation Workout Music for Exercise Sports, Running, Bodypump, Aerobics, Gym",6/20/2014,3:25,74,86,22,0,52,0,30,-4,G Major,4,8/21/2023,63iuseNM9M4zQ1KBRe7omL,NMCompila,9B,https://p.scdn.co/mp3-preview/6612d442b83950eafe052a5dafdd8b36d4493d25?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485127d2255e842737daba9eb710
104,R U Mine?,Arctic Monkeys,85,97,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,9/9/2013,3:21,29,76,1,0,62,0,30,-6,F#/G♭ Minor,4,8/14/2023,2AT8iROs4FQueDv2c8q2KE,Domino Recording Co,11A,https://p.scdn.co/mp3-preview/d41c9b18f0787cc9b2ccea10740d92dd7e7f639a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163
105,I Wanna Be Yours,Arctic Monkeys,96,68,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,9/9/2013,3:03,46,42,14,2,48,0,10,-9,C Minor,4,8/14/2023,5XeFesFbtLpXzIVDNQP22n,Domino Recording Co,5A,https://p.scdn.co/mp3-preview/07de30bde8363d9ff78b72339245c151f67af451?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163
106,505,Arctic Monkeys,88,140,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,Favourite Worst Nightmare,4/22/2007,4:13,53,87,0,0,25,0,0,-6,C Major,4,8/14/2023,0BxE4FqsDD1Ot4YuBXwAPp,Domino Recording Co,8B,https://p.scdn.co/mp3-preview/24ad19af2d5feeeb0048bff59b4096960b415848?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b1f8da74f225fa1225cdface
107,Do I Wanna Know?,Arctic Monkeys,90,85,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,9/9/2013,4:32,55,53,19,0,41,0,20,-8,F Major,4,8/14/2023,5FVd6KXrgO9B3JPmC8OPst,Domino Recording Co,7B,https://p.scdn.co/mp3-preview/006bc465fe3d1c04dae93a050eca9d402a7322b8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163
108,Why'd You Only Call Me When You're High?,Arctic Monkeys,91,92,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,9/9/2013,2:41,69,63,5,0,80,0,10,-6,D Major,4,8/14/2023,086myS9r57YsLbJpU0TgK9,Domino Recording Co,10B,https://p.scdn.co/mp3-preview/be5453a4763510679fab61e39662ab0257458be6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163
