#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
139,Hey Brother,Avicii,81,125,"dance pop, edm, pop, pop dance","Pop, Electronic",TRUE,1/1/2013,4:15,55,78,3,0,46,0,0,-5,G Minor,4,8/21/2023,4lhqb6JvbHId48OUJGwymk,Universal Music AB,6A,,https://i.scdn.co/image/ab67616d00004851e14f11f796cef9f9a82691a7
140,Take Me To Church,Hozier,87,129,"irish singer-songwriter, modern rock, pov: indie","Folk/Acoustic, Rock, Pop",Hozier,7/20/2014,4:01,57,66,63,0,44,0,10,-5,E Minor,4,8/14/2023,3dYD57lRAUcMHufyqn9GcI,Universal-Island Records Ltd.,9A,,https://i.scdn.co/image/ab67616d000048517a9bf5f82e32d33d4503fe7b
141,Glad You Came,The Wanted,81,127,"boy band, dance pop, pop, post-teen pop",Pop,Battleground (Deluxe Edition),1/1/2011,3:17,72,85,3,0,45,0,10,-4,G Minor,4,8/14/2023,5yDL13y5giogKs2fSNf7sj,Universal-Island Records Ltd.,6A,,https://i.scdn.co/image/ab67616d0000485117a142a78128fb7c54ab9aa4
142,Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson,Miley Cyrus",76,114,"pop soul, pop","Pop, R&B",Nothing Breaks Like a Heart (feat. Miley Cyrus),11/30/2018,3:37,60,79,1,0,24,0,30,-6,G Minor,4,8/14/2023,27rdGxbavYJeBphck5MZAF,Columbia,6A,https://p.scdn.co/mp3-preview/065264ead2d0f08cfc27698c7d960be651cc70fc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ad79d30f49891b2a2f7757f8
143,Somebody That I Used To Know,"Gotye,Kimbra",82,129,"australian pop, bergen indie, electropop, nz pop","Pop, Electronic",Making Mirrors,1/1/2011,4:04,87,52,55,0,75,0,10,-7,C Major,4,8/14/2023,1qDrWA6lyx8cLECdZE7TV7,Universal-Island Records Ltd.,8B,,https://i.scdn.co/image/ab67616d000048518ac5768205ad97df3f4f4c0e
144,Troublemaker (feat. Flo Rida),"Olly Murs,Flo Rida",0,106,"dance pop, pop, talent show, miami hip hop, pop rap","Pop, Hip Hop",Right Place Right Time (Special Edition),2012-00-00,3:05,76,86,2,0,97,0,10,-4,C Minor,4,8/14/2023,3raIDwS1IWxjBq48cE4E8h,Epic,5A,,https://i.scdn.co/image/ab67616d0000485195612dcf04aed6e61af82cdc
145,Sway With Me (with GALXARA),"Saweetie,GALXARA",60,131,"cali rap, trap queen, la pop","Hip Hop, Pop, R&B",Sway With Me (with GALXARA),1/31/2020,2:48,62,85,0,0,88,0,30,-4,D#/E♭ Minor,4,8/14/2023,5gqLY5H1ZyT3BScVr0nDMs,Atlantic Records,2A,https://p.scdn.co/mp3-preview/4faeb0d8d31b2eefe5935d92b0eb841bf4d9d8a9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510ec95779b64062cd2fad8a5c
146,I'm Yours,Jason Mraz,80,151,"acoustic pop, dance pop, neo mellow, pop","Pop, Folk/Acoustic",We Sing. We Dance. We Steal Things.,5/12/2008,4:02,70,44,56,0,71,0,10,-9,B Major,4,8/14/2023,1EzrEOXmMH3G43AXT1y7pA,Atlantic Records/ATG,1B,https://p.scdn.co/mp3-preview/0952568e496914bb61383588ac417ec70abefc1d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851125b1a330b6f6100ab19dbed
147,Confident,Demi Lovato,1,130,"pop, post-teen pop",Pop,Confident (Deluxe Edition),1/1/2015,3:25,61,75,0,0,34,0,10,-6,D#/E♭ Major,4,8/14/2023,6WjmPTZKeDylStKmGHLcqQ,Universal Music,5B,,https://i.scdn.co/image/ab67616d0000485132ba66bac20112c757abeedf
148,Give Your Heart a Break,Demi Lovato,73,123,"pop, post-teen pop",Pop,Unbroken,1/1/2011,3:25,65,70,23,0,57,0,10,-3,F#/G♭ Major,4,8/14/2023,3sP3c86WFjOzHHnbhhZcLA,Hollywood Records,2B,,https://i.scdn.co/image/ab67616d0000485183fc43cfc25d836e17f8cc30
149,Meet Me Halfway,Black Eyed Peas,0,130,"dance pop, pop, pop rap","Pop, Hip Hop",THE E.N.D. (THE ENERGY NEVER DIES) [International Version],1/1/2009,4:44,80,63,0,0,40,0,30,-7,B Minor,4,8/14/2023,2T4u39au5RJzsulMUpRuVr,Universal Music Group,10A,,https://i.scdn.co/image/ab67616d0000485149ed7a0ea23c40c730f6bb37
150,Man on a Mission,Oh The Larceny,0,77,"bossbeat, rebel blues","Pop, Blues",Oh the Larceny,1/27/2017,3:31,61,63,0,0,77,0,10,-5,C♯/D♭ Major,4,8/14/2023,5UgnnZ4sLIN95ZBDtH0XuR,Position Music,3B,,https://i.scdn.co/image/ab67616d00004851972a2048dcdbd8a356dce361
151,Cake By The Ocean,DNCE,85,119,"dance pop, pop",Pop,DNCE,11/18/2016,3:39,77,75,15,0,90,0,0,-5,E Minor,4,8/14/2023,76hfruVvmfQbw0eYn1nmeC,Joseph Jonas/Republic Records,9A,,https://i.scdn.co/image/ab67616d000048518d0a75346badc30c8b845be9
152,Undress Rehearsal,Timeflies,58,123,indie pop rap,Hip Hop,Just For Fun (Deluxe),9/18/2015,3:34,95,65,0,0,73,0,0,-4,B Minor,4,8/14/2023,1aPqexHVW20OTamBHdWWVL,Island Records,10A,,https://i.scdn.co/image/ab67616d00004851d2446b7008dc5859c274ed55
153,Shine,Elgate feat. Spektrem,0,128,,,Shine,7/2/2014,3:48,55,81,1,0,28,0,40,-6,G Major,4,8/14/2023,7F9JEUSWBBzrByXA3FszFX,Independent,9B,,https://i.scdn.co/image/ab67616d00004851ef6da17cdb4f7e268a24bd53
154,Cradles,Sub Urban,4,67,modern indie pop,Pop,Cradles,1/4/2019,3:29,58,59,27,0,63,30,10,-2,C♯/D♭ Major,3,8/14/2023,18A7ha5BitZjmdHTCwXFbU,NCS,3B,,https://i.scdn.co/image/ab67616d00004851cec7c8ebb684882dbaf476f5
155,Sweater Weather,The Neighbourhood,93,124,"modern alternative rock, modern rock, pop, pov: indie","Rock, Pop",I Love You.,4/19/2013,4:00,61,81,5,2,40,0,10,-3,A#/B♭ Major,4,8/14/2023,2QjOHCTQ1Jl3zawyYOpxh6,Columbia,6B,https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518265a736a1eb838ad5a0b921
156,Daddy Issues,The Neighbourhood,88,85,"modern alternative rock, modern rock, pop, pov: indie","Rock, Pop",Wiped Out!,10/30/2015,4:20,59,52,7,15,34,0,10,-9,A#/B♭ Major,4,8/14/2023,5E30LdtzQTGqRvNd7l6kG5,Columbia,6B,https://p.scdn.co/mp3-preview/d79918fba2888bf825a5edc938ce1f79ed12ff7b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513066581d697fbdee4303d685
157,One Dance,"Drake,Wizkid,Kyla",90,104,"canadian hip hop, canadian pop, hip hop, pop rap, rap, afrobeats, afropop, azonto, nigerian hip hop, nigerian pop, uk funky","R&B, Pop, World/Traditional, Hip Hop, Electronic",Views,5/6/2016,2:53,79,63,1,0,37,0,30,-6,C♯/D♭ Major,4,8/14/2023,1zi7xx7UVEFkmKfv06H8x0,Cash Money Records/Young Money Ent./Universal Rec.,3B,,https://i.scdn.co/image/ab67616d000048519416ed64daf84936d89e671c
158,idfc,blackbear,78,145,pop,Pop,dead,6/2/2015,3:27,72,42,8,0,46,0,10,-9,E Minor,4,8/14/2023,3SErMoIKdRELto2OspGs5L,beartrap,9A,https://p.scdn.co/mp3-preview/4a717697ef9d6835046bebdeb24175c5466e753d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516ac1ad714f815e19c2372401
159,Love Me Like You Do,Ellie Goulding,75,95,"indietronica, metropopolis, pop, uk pop","Pop, Electronic",Fifty Shades Freed (Original Motion Picture Soundtrack),2/9/2018,4:13,49,60,27,0,32,0,10,-7,F Minor,4,8/14/2023,0Cy7wt6IlRfBPHXXjmZbcP,Republic/Universal/FSF,4A,,https://i.scdn.co/image/ab67616d000048516cd9798b6ace10ff98d1abdd
160,Stolen Dance,Milky Chance,36,114,"german pop, modern rock","Pop, Rock",coconut girl,5/28/2021,5:13,88,56,41,0,68,0,0,-9,B Major,4,8/14/2023,1aW4J5NXeZjEpRZcqzxczk,UME - Global Clearing House,1B,https://p.scdn.co/mp3-preview/a5a49157caae8d8fbb5c82b70a6244a9ec828562?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518db5f3824b0f678dfe06bc78
161,Ride,Twenty One Pilots,84,75,"modern rock, pop, pov: indie, rock","Rock, Pop",Blurryface,5/15/2015,3:34,65,71,1,0,57,0,10,-5,F#/G♭ Major,4,8/14/2023,2Z8WuEywRWYTKe1NybPQEW,Fueled By Ramen,2B,https://p.scdn.co/mp3-preview/b571ceecaadc03941bdf4e683ea26e4e6d3f7c17?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851de03bfc2991fd5bcfde65ba3
162,Safe And Sound,Capital Cities,86,118,"metropopolis, modern rock","Electronic, Rock",In A Tidal Wave Of Mystery (Deluxe Edition),2013-00-00,3:12,66,82,0,0,77,0,10,-5,C Major,5,8/14/2023,6Z8R6UsFuGXGtiIxiD8ISb,Capital Cities,8B,,https://i.scdn.co/image/ab67616d0000485113c6cb6a81c8db4dbc8b9924
163,We Are Young (feat. Janelle Monáe),"fun.,Janelle Monáe",80,184,"baroque pop, metropopolis, afrofuturism, alternative r&b, atl hip hop, neo soul, r&b","R&B, Hip Hop, Pop, Electronic",Some Nights,2/14/2012,4:10,38,64,2,0,74,0,0,-6,A#/B♭ Major,4,8/14/2023,5rgy6ghBq1eRApCkeUdJXf,Fueled By Ramen,6B,https://p.scdn.co/mp3-preview/71127da3ad33d0423fb257f079a2333caec0b0bf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a036e1724bc7f2bab15cfda8
164,Doing It to Me,Gifted Gambler,0,176,,,Doing It to Me,3/2/2018,3:51,48,74,4,0,54,0,0,-4,D Minor,4,8/15/2023,2PITU6IfSYiufTqhUC4nFE,Gifted Gambler,7A,,https://i.scdn.co/image/ab67616d0000485169fce8f9872b4db770774d45
165,Sweet Child O' Mine,Guns N' Roses,89,125,"glam metal, hard rock, rock","Metal, Rock",Appetite For Destruction,7/21/1987,5:56,45,95,9,9,62,0,10,-5,F#/G♭ Major,4,8/15/2023,7snQQk1zcKl8gZ92AnueZW,Guns N Roses P&D,2B,,https://i.scdn.co/image/ab67616d0000485121ebf49b3292c3f0f575f0f5
166,Paradise City,Guns N' Roses,83,100,"glam metal, hard rock, rock","Metal, Rock",Appetite For Destruction,7/21/1987,6:45,27,98,2,1,40,10,10,-6,B Major,4,8/15/2023,6eN1f9KNmiWEhpE2RhQqB5,Guns N Roses P&D,1B,,https://i.scdn.co/image/ab67616d0000485121ebf49b3292c3f0f575f0f5
167,This I Love,Guns N' Roses,70,92,"glam metal, hard rock, rock","Metal, Rock",Chinese Democracy,11/23/2008,5:34,26,44,60,0,13,0,10,-8,G#/A♭ Minor,4,8/15/2023,2FEWcWHnDmGD6WSqpW4VYu,Geffen,1A,,https://i.scdn.co/image/ab67616d00004851e29a351729da4d29214e54e2
168,Second Chance,Shinedown,73,100,"alternative metal, nu metal, post-grunge",Metal,The Sound of Madness,6/24/2008,3:42,46,80,0,0,18,0,10,-5,C Minor,4,8/15/2023,0CwYG1UnRmOx8Q1EzElCIL,Atlantic Records,5A,https://p.scdn.co/mp3-preview/6ff0345f3f2809bddbceae315e2260fc2d778a26?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a8884c298d3fc9b70c4e9196
169,Life is a Highway,Rascal Flatts,76,103,"contemporary country, country, country road, modern country rock","Country, Rock",Me And My Gang,1/1/2006,4:36,58,95,0,0,66,0,20,-4,F Major,4,8/15/2023,2Fs18NaCDuluPG1DHGw1XG,Lyric Street,7B,,https://i.scdn.co/image/ab67616d00004851aa6b03f85a0f2cb16e88ec0c
170,Tears Don't Fall,Bullet For My Valentine,69,162,"alternative metal, melodic metalcore, nu metal, post-grunge, uk metalcore, welsh metal",Metal,The Poison,2005-00-00,5:48,21,93,0,0,23,10,0,-3,G Minor,4,8/15/2023,5pKCDm2fw4k6D6C5Rk646C,20-20 Entertainment LLC,6A,https://p.scdn.co/mp3-preview/197fa9e88fff637165870dea8cc85e9e17bd9231?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485154113df5ab7a69df8a44c37e
171,Nightmare,Avenged Sevenfold,75,130,alternative metal,Metal,Nightmare,7/23/2010,6:14,55,95,0,0,23,0,20,-5,D Major,4,8/25/2023,4UEo1b0wWrtHMC8bVqPiH8,Warner Records,10B,https://p.scdn.co/mp3-preview/c781eca2ae8f1196661b5dfb2314e85a7dd104d1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c34064a3c5e4a25892a091f3
172,Gunslinger,Avenged Sevenfold,72,163,alternative metal,Metal,Avenged Sevenfold,10/26/2007,4:11,32,73,2,0,37,0,20,-6,D Minor,4,8/25/2023,7MOQrtXMNImAq5TrPZzC0w,Warner Records,7A,https://p.scdn.co/mp3-preview/84f52b19d7736a7063862f663bdecb48935dd8c4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485133c52ca8309741c6999ca742
173,Afterlife,Avenged Sevenfold,74,110,alternative metal,Metal,Avenged Sevenfold,10/26/2007,5:52,49,95,0,0,41,0,20,-4,D Minor,4,8/25/2023,7zAt4tdL44D3VuzsvM0N8n,Warner Records,7A,https://p.scdn.co/mp3-preview/f68b923d006c83a383f5d307d7fdeeb8f906172a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485133c52ca8309741c6999ca742
174,Queen of Kings,Alessandra,76,126,,,Queen of Kings,1/9/2023,2:27,56,91,7,0,17,0,30,-4,E Minor,4,8/15/2023,14LdhxElpZS0rKVV4nxtdA,Universal Music AS,9A,,https://i.scdn.co/image/ab67616d0000485189a8d6b547ec327bef9d395d
175,Tanz mit mir,"Faun,Santiano",60,96,"hurdy-gurdy, medieval folk, medieval rock, german rock, seemannslieder","Rock, Folk/Acoustic",Von den Elben,1/1/2013,3:02,68,92,14,0,96,0,0,-5,C Major,4,8/15/2023,3zodQoSA9p2jwSlFrYkzHF,Electrola,8B,,https://i.scdn.co/image/ab67616d000048519ca604addb297e54022ec315
176,Un Poco Loco,"Anthony Gonzalez,Gael Garcia Bernal",71,126,movie tunes,Easy listening,Coco (Original Motion Picture Soundtrack),11/10/2017,1:52,62,50,60,0,64,10,30,-8,G Major,4,8/15/2023,0OFknyqxmSQ42SoKxWVTok,Walt Disney Records,9B,,https://i.scdn.co/image/ab67616d000048511f062b7159e8f230120512bf
177,#24,Dolu Kadehi Ters Tut,58,172,"turkish alt pop, turkish rock","Pop, Rock",Karanlık,4/5/2019,3:48,57,53,56,0,36,0,10,-8,C♯/D♭ Minor,4,8/22/2023,6ihcJlZFxGvqIq7kkJFjoU,Dolu Kadehi Ters Tut,12A,https://p.scdn.co/mp3-preview/43e00df3aec2b37e8aa3bb80d7cca640955805be?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485161d6750a0251c9499570e586
178,Neyin Nesi,Dolu Kadehi Ters Tut,64,208,"turkish alt pop, turkish rock","Pop, Rock",Neyin Nesi,5/1/2020,3:16,43,75,11,0,69,30,30,-9,F#/G♭ Minor,4,8/22/2023,4BH1Z9kmxkq3U1mAYLtHPu,Dolu Kadehi Ters Tut,11A,https://p.scdn.co/mp3-preview/091d3a67b30a0709ad61bbd0806b0026ce80fdda?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485165502d9f1d78591fc86cbe06
179,Islansın,Dolu Kadehi Ters Tut,58,96,"turkish alt pop, turkish rock","Pop, Rock",DKTT,3/19/2021,3:47,56,59,1,0,14,0,20,-12,C Minor,4,8/22/2023,64tbzemnnl39CLkV59EUtY,Dolu Kadehi Ters Tut,5A,https://p.scdn.co/mp3-preview/74ad8480ba85f434babc89c9a516ade8ade96d94?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485174abebd1f4064c5c93983849
180,Gizemli Gizem,Dolu Kadehi Ters Tut,26,124,"turkish alt pop, turkish rock","Pop, Rock",Akustikhane Sessions,5/11/2018,4:28,69,31,62,0,32,0,30,-17,A Minor,4,8/22/2023,2wL7nNNQgScgyjLUzJWz66,Dolu Kadehi Ters Tut,8A,https://p.scdn.co/mp3-preview/784163626fbfabda72ea6e7d8c865d6529735a2e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ddc55de96679c0785cc898a8
181,Biraz Delisin,Dolu Kadehi Ters Tut,0,102,"turkish alt pop, turkish rock","Pop, Rock",Dünyanın En İyi Albümü,11/3/2017,3:52,73,68,36,0,86,0,0,-9,A Minor,4,8/22/2023,4xjnztr0LuiK6CE6dwctLP,Dolu Kadehi Ters Tut,8A,,https://i.scdn.co/image/ab67616d00004851a005a7805adae407658deae6
182,Beyler,Dolu Kadehi Ters Tut,27,100,"turkish alt pop, turkish rock","Pop, Rock",Beyler,3/22/2019,3:57,62,85,29,0,50,0,10,-5,C Major,4,8/22/2023,4lsAWQy8mspQme5uQkbM07,Dolu Kadehi Ters Tut,8B,https://p.scdn.co/mp3-preview/843046c49a3618a39b32b18dce418082c1a1c106?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485167809d062d94b7915f883eef
183,Madem,Dolu Kadehi Ters Tut,67,96,"turkish alt pop, turkish rock","Pop, Rock",Karanlık,4/5/2019,4:06,64,81,13,0,13,0,20,-5,A Major,4,8/22/2023,0AHY9HLMYcbscA2s4KEiJc,Dolu Kadehi Ters Tut,11B,https://p.scdn.co/mp3-preview/31238642839d2d60767118ecec7c8790bef65cc7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485161d6750a0251c9499570e586
184,Hiç İyi Değilim,Dolu Kadehi Ters Tut,68,156,"turkish alt pop, turkish rock","Pop, Rock",Hiç İyi Değilim,3/11/2022,3:32,49,83,0,0,38,0,10,-6,D#/E♭ Minor,4,8/22/2023,2w5SV2BYwU4FVKBkFYlCU2,SMF Muzik Yapim Anonim Sirketi,2A,https://p.scdn.co/mp3-preview/e3080bf47fb7089fbe69b2c345600d151ae90ef8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dda5e9aab7ef6a2fcef2b3fd
185,Yalan,Dolu Kadehi Ters Tut,63,98,"turkish alt pop, turkish rock","Pop, Rock",Karanlık,4/5/2019,3:39,76,63,44,0,73,0,10,-7,E Minor,4,8/22/2023,6V63uFz2tbe7l4CX8Dkobm,Dolu Kadehi Ters Tut,9A,https://p.scdn.co/mp3-preview/e95e248f3e6c66192e4ee2a3a93eeffed3aa2a79?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485161d6750a0251c9499570e586
186,Yarısı Yok,Dolu Kadehi Ters Tut,46,98,"turkish alt pop, turkish rock","Pop, Rock",Ölüm Dansı,8/4/2023,3:14,68,85,6,0,88,0,0,-5,F Minor,4,8/22/2023,3wUbjE2toU7ENmcsfHvHLT,Dolu Kadehi Ters Tut,4A,https://p.scdn.co/mp3-preview/69ef3abe4be08c055bb05dee0abb2c0278dda7c9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d5b2f53cb76e7faf9c8262f4
187,Kaçar Gider,Dolu Kadehi Ters Tut,64,128,"turkish alt pop, turkish rock","Pop, Rock",Kaçar Gider,2/28/2020,3:32,65,62,5,26,17,0,60,-11,E Minor,4,8/22/2023,0tx0AFLugYzvN1Cz1TUIDV,Dolu Kadehi Ters Tut,9A,https://p.scdn.co/mp3-preview/a25a23cf710ad87ce63149bbd62d46f7915ff112?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b331e2764148fa98b3755998
188,Karanlık,Dolu Kadehi Ters Tut,62,180,"turkish alt pop, turkish rock","Pop, Rock",Karanlık,4/5/2019,3:49,49,68,84,0,19,20,20,-10,A Minor,4,8/22/2023,3RojH1cvKfidA8bYUgCVOZ,Dolu Kadehi Ters Tut,8A,https://p.scdn.co/mp3-preview/b63c77a0268ccfe28642aeff4bd926ac5b372129?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485161d6750a0251c9499570e586
189,Çöpçatan,Dolu Kadehi Ters Tut,48,114,"turkish alt pop, turkish rock","Pop, Rock",Dünyanın En İyi Albümü,11/3/2017,4:04,75,49,11,0,73,0,0,-11,C Major,4,8/22/2023,6DwXNjgWHmQLRpTR8n5cT1,Dolu Kadehi Ters Tut,8B,https://p.scdn.co/mp3-preview/adc99837e6b3958e1a475693f1f3caf7b99b2f51?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d84bb51d4153c401b8562c9f
190,Tehlikeli İkilem,Dolu Kadehi Ters Tut,36,100,"turkish alt pop, turkish rock","Pop, Rock",Dünyanın En İyi Albümü,11/3/2017,3:53,70,79,47,0,44,0,10,-11,G Major,4,8/22/2023,1Hb63Dxb1ac1OmOSRPg6VS,Dolu Kadehi Ters Tut,9B,https://p.scdn.co/mp3-preview/7aa8984f9cfa92e1cc28ff0bb11b8cb3c32d8f6d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d84bb51d4153c401b8562c9f
191,Çöpçatan,Dolu Kadehi Ters Tut,0,114,"turkish alt pop, turkish rock","Pop, Rock",Dünyanın En İyi Albümü,11/3/2017,4:04,75,49,11,0,73,0,0,-11,C Major,4,8/22/2023,538w1FJafc2YxFkDuPoskS,Dolu Kadehi Ters Tut,8B,,https://i.scdn.co/image/ab67616d00004851a005a7805adae407658deae6
192,Anamız Babamız Yok Deriz,Dolu Kadehi Ters Tut,56,150,"turkish alt pop, turkish rock","Pop, Rock",Anamız Babamız Yok Deriz,5/27/2017,4:12,67,73,32,0,71,0,20,-7,E Minor,4,8/22/2023,4eBaac3v3GLwhDCPiCGO1Q,Dolu Kadehi Ters Tut,9A,https://p.scdn.co/mp3-preview/3f7519c1d7cb58d7b50830ecec4f8a7e06e10786?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fad486254657e15107c3afbc
193,Aldattın Mı,Dolu Kadehi Ters Tut,61,95,"turkish alt pop, turkish rock","Pop, Rock",Polonya'nın Başı Belada,12/16/2015,3:23,76,45,34,0,60,0,10,-10,E Minor,4,8/22/2023,0g6RLjEkDStAKZoijFe8Uq,Dolu Kadehi Ters Tut,9A,https://p.scdn.co/mp3-preview/847778d39405e19ae534f8928cb259cf46d8795f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f57619472a07ed30daad6960
194,Aldattım,Dolu Kadehi Ters Tut,59,100,"turkish alt pop, turkish rock","Pop, Rock",Dünyanın En İyi Albümü,11/3/2017,3:28,80,65,39,0,66,10,10,-11,G Major,4,8/22/2023,7q6lFNC3JJoeAgHJ95JUKB,Dolu Kadehi Ters Tut,9B,https://p.scdn.co/mp3-preview/825a63f010f68e0f63a4cc8ae6fd8f142f237723?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d84bb51d4153c401b8562c9f
195,Kafile,Yüksek Sadakat,66,100,"turkish pop, turkish rock","Pop, Rock",Yüksek Sadakat,4/21/2005,4:18,57,75,5,0,75,0,30,-6,A Major,4,8/22/2023,4PTjzk0gb6st9Lk5kKBnc6,DOĞAN MÜZİK YAPIM,11B,https://p.scdn.co/mp3-preview/daa7f2443aa65575b51d011ba4b1dac4a13fb187?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b0b708cd6af98b90b56296bb
196,Haydi Gel İçelim,Yüksek Sadakat,65,136,"turkish pop, turkish rock","Pop, Rock",Katil & Maktül,2008-00-00,4:10,64,66,8,0,66,0,0,-5,A Major,4,8/22/2023,6b0iQwJFAjQz8bwJbUIUQb,DOĞAN MÜZİK YAPIM,11B,https://p.scdn.co/mp3-preview/82cf3d27f415b497a787f7af156af3bc0ae4f380?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f07e1c234bb1058d11b45309
197,Belki Üstümüzden Bir Kuş Geçer,Yüksek Sadakat,66,100,"turkish pop, turkish rock","Pop, Rock",Yüksek Sadakat,4/21/2005,4:29,52,68,17,0,60,0,40,-5,A Minor,4,8/22/2023,1QOSqQevYx6IrRTV9UG3D9,DOĞAN MÜZİK YAPIM,8A,https://p.scdn.co/mp3-preview/d23fb082fca1e1c4213e6a8826fa3c7e27fd1c7b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b0b708cd6af98b90b56296bb
198,Ben Seni Arayamam,Yüksek Sadakat,59,140,"turkish pop, turkish rock","Pop, Rock",Katil & Maktül,2008-00-00,4:35,50,80,14,0,49,0,10,-4,D Minor,4,8/22/2023,52ZLJQC1Js1FmqeWTxhGlQ,DOĞAN MÜZİK YAPIM,7A,https://p.scdn.co/mp3-preview/718d9a4e31ae1dbfc77c40173573f83568a20487?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f07e1c234bb1058d11b45309
199,Kendime Yalan Söyledim,Seksendört,68,127,"turkish pop, turkish rock","Pop, Rock",Akiyor Zaman,3/3/2011,4:27,69,73,21,0,58,0,0,-6,B Minor,4,8/22/2023,5hYb9RIvqvk8J6mjMNL4pc,Poll Production,10A,https://p.scdn.co/mp3-preview/4048c98eed026722b3064736fa84e77c2a80f567?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c64d0b7ad5643b3b281b238a
200,Yıldızlara Bak,Yaşlı Amca,68,165,"turkish alternative rock, turkish rock",Rock,Yaşlı Amca,1/10/2020,4:00,51,62,33,0,27,0,0,-6,C♯/D♭ Minor,4,8/22/2023,3t0tWO3jsrvHTCl1FsqkZf,GARAJ,12A,https://p.scdn.co/mp3-preview/b120ee1064d7c445f4388df1bf780e5fa63d6f1a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510f5f60fbcee93eb6a81c47ba
201,Giderdi Hoşuma,Yaşlı Amca,68,125,"turkish alternative rock, turkish rock",Rock,Akşamüstü,9/1/2017,3:40,68,69,26,0,79,0,20,-5,C Minor,4,8/22/2023,7LXZEyI1ke06UnmuwG4P8d,Y.A. Records,5A,https://p.scdn.co/mp3-preview/9b5874b5776677f4e56cd40244c4afda2c451f82?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510bd073158183b4f0ae0a0580
202,İstanbul Beyefendisi,Yaşlı Amca,65,130,"turkish alternative rock, turkish rock",Rock,Akşamüstü,9/1/2017,3:53,49,48,18,0,61,0,40,-7,A#/B♭ Minor,4,8/22/2023,1XJN6kQ2Qkxgsf2pL9Xfmy,Y.A. Records,3A,https://p.scdn.co/mp3-preview/77bfec055de1506a663e05bd6f19fecab1911ca7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510bd073158183b4f0ae0a0580
